,model,fold,test_score,train_score,y_name
0,LogisticRegression__penalty=None,0,0.37214885954381755,1.0,mq_4_calm_sleep
1,LogisticRegression__penalty=None,1,0.2758194186765615,1.0,mq_4_calm_sleep
2,LogisticRegression__penalty=None,2,0.31363636363636366,1.0,mq_4_calm_sleep
3,LogisticRegression__penalty=None,3,0.29718614718614716,1.0,mq_4_calm_sleep
4,LogisticRegression__penalty=None,4,0.31923076923076926,1.0,mq_4_calm_sleep
5,LogisticRegression__penalty=l1,0,0.4066515495086924,1.0,mq_4_calm_sleep
6,LogisticRegression__penalty=l1,1,0.3511599511599512,1.0,mq_4_calm_sleep
7,LogisticRegression__penalty=l1,2,0.3869230769230769,1.0,mq_4_calm_sleep
8,LogisticRegression__penalty=l1,3,0.2976190476190476,1.0,mq_4_calm_sleep
9,LogisticRegression__penalty=l1,4,0.47316017316017317,1.0,mq_4_calm_sleep
10,LogisticRegression__penalty=l2,0,0.35956200662083015,1.0,mq_4_calm_sleep
11,LogisticRegression__penalty=l2,1,0.2777777777777778,1.0,mq_4_calm_sleep
12,LogisticRegression__penalty=l2,2,0.2517094017094017,1.0,mq_4_calm_sleep
13,LogisticRegression__penalty=l2,3,0.29718614718614716,1.0,mq_4_calm_sleep
14,LogisticRegression__penalty=l2,4,0.3232905982905983,1.0,mq_4_calm_sleep
15,LogisticRegression__penalty=elasticnet,0,0.4880952380952381,1.0,mq_4_calm_sleep
16,LogisticRegression__penalty=elasticnet,1,0.31106988249845396,0.9877358405115805,mq_4_calm_sleep
17,LogisticRegression__penalty=elasticnet,2,0.2701010101010101,0.9878048780487805,mq_4_calm_sleep
18,LogisticRegression__penalty=elasticnet,3,0.22887112887112887,0.9877364210691023,mq_4_calm_sleep
19,LogisticRegression__penalty=elasticnet,4,0.44642857142857145,1.0,mq_4_calm_sleep
20,DecisionTreeClassifier,0,0.3985776128633271,0.5676227476399741,mq_4_calm_sleep
21,DecisionTreeClassifier,1,0.2857142857142857,0.6130814382298307,mq_4_calm_sleep
22,DecisionTreeClassifier,2,0.23571428571428568,0.49771364290462317,mq_4_calm_sleep
23,DecisionTreeClassifier,3,0.2678571428571429,0.5139425139425139,mq_4_calm_sleep
24,DecisionTreeClassifier,4,0.25728291316526614,0.47086972261188287,mq_4_calm_sleep
25,RandomForestClassifier,0,0.46009070294784576,1.0,mq_4_calm_sleep
26,RandomForestClassifier,1,0.3074829931972789,1.0,mq_4_calm_sleep
27,RandomForestClassifier,2,0.4512820512820512,0.9878048780487805,mq_4_calm_sleep
28,RandomForestClassifier,3,0.40755244755244757,1.0,mq_4_calm_sleep
29,RandomForestClassifier,4,0.5426262626262626,1.0,mq_4_calm_sleep
30,AdaBoostClassifier,0,0.4204684204684204,1.0,mq_4_calm_sleep
31,AdaBoostClassifier,1,0.3310308738880168,0.7928709755507141,mq_4_calm_sleep
32,AdaBoostClassifier,2,0.30582293523469994,0.905242495725756,mq_4_calm_sleep
33,AdaBoostClassifier,3,0.4189705882352941,0.9509144434783935,mq_4_calm_sleep
34,AdaBoostClassifier,4,0.3944444444444445,0.9189991529330905,mq_4_calm_sleep
35,SVC,0,0.562566844919786,1.0,mq_4_calm_sleep
36,SVC,1,0.24126984126984125,1.0,mq_4_calm_sleep
37,SVC,2,0.2653846153846154,1.0,mq_4_calm_sleep
38,SVC,3,0.40021645021645025,1.0,mq_4_calm_sleep
39,SVC,4,0.4,1.0,mq_4_calm_sleep
40,LinearSVC,0,0.32850958565244276,1.0,mq_4_calm_sleep
41,LinearSVC,1,0.2988440131297274,1.0,mq_4_calm_sleep
42,LinearSVC,2,0.30594405594405594,1.0,mq_4_calm_sleep
43,LinearSVC,3,0.1640692640692641,1.0,mq_4_calm_sleep
44,LinearSVC,4,0.27884615384615385,1.0,mq_4_calm_sleep
45,LogisticRegression__penalty=None,0,0.37857142857142856,1.0,mq_5_superficial_sleep
46,LogisticRegression__penalty=None,1,0.19047619047619047,1.0,mq_5_superficial_sleep
47,LogisticRegression__penalty=None,2,0.33531746031746035,1.0,mq_5_superficial_sleep
48,LogisticRegression__penalty=None,3,0.2606837606837607,1.0,mq_5_superficial_sleep
49,LogisticRegression__penalty=None,4,0.31871794871794873,1.0,mq_5_superficial_sleep
50,LogisticRegression__penalty=l1,0,0.3779289493575208,0.975323365504244,mq_5_superficial_sleep
51,LogisticRegression__penalty=l1,1,0.28393828393828396,1.0,mq_5_superficial_sleep
52,LogisticRegression__penalty=l1,2,0.15989010989010993,0.9755807200929153,mq_5_superficial_sleep
53,LogisticRegression__penalty=l1,3,0.24567099567099565,0.9878341756390536,mq_5_superficial_sleep
54,LogisticRegression__penalty=l1,4,0.30305944055944056,0.9877755804585073,mq_5_superficial_sleep
55,LogisticRegression__penalty=l2,0,0.4129251700680272,1.0,mq_5_superficial_sleep
56,LogisticRegression__penalty=l2,1,0.16326530612244897,1.0,mq_5_superficial_sleep
57,LogisticRegression__penalty=l2,2,0.304004329004329,1.0,mq_5_superficial_sleep
58,LogisticRegression__penalty=l2,3,0.30416666666666664,1.0,mq_5_superficial_sleep
59,LogisticRegression__penalty=l2,4,0.2404761904761905,1.0,mq_5_superficial_sleep
60,LogisticRegression__penalty=elasticnet,0,0.37513227513227515,1.0,mq_5_superficial_sleep
61,LogisticRegression__penalty=elasticnet,1,0.2550782550782551,1.0,mq_5_superficial_sleep
62,LogisticRegression__penalty=elasticnet,2,0.3835497835497836,1.0,mq_5_superficial_sleep
63,LogisticRegression__penalty=elasticnet,3,0.35608974358974355,1.0,mq_5_superficial_sleep
64,LogisticRegression__penalty=elasticnet,4,0.25047619047619046,1.0,mq_5_superficial_sleep
65,DecisionTreeClassifier,0,0.2863945578231292,1.0,mq_5_superficial_sleep
66,DecisionTreeClassifier,1,0.2504162504162504,0.9750381430598233,mq_5_superficial_sleep
67,DecisionTreeClassifier,2,0.39285714285714285,1.0,mq_5_superficial_sleep
