,model,fold,test_score,train_score,y_name
0,LogisticRegression__penalty=None,0,0.23908730158730154,1.0,mq_4_calm_sleep
1,LogisticRegression__penalty=None,1,0.11505016722408025,1.0,mq_4_calm_sleep
2,LogisticRegression__penalty=None,2,0.27065217391304347,1.0,mq_4_calm_sleep
3,LogisticRegression__penalty=None,3,0.1669082125603865,1.0,mq_4_calm_sleep
4,LogisticRegression__penalty=None,4,0.34635356118732075,1.0,mq_4_calm_sleep
5,LogisticRegression__penalty=l1,0,0.287767094017094,1.0,mq_4_calm_sleep
6,LogisticRegression__penalty=l1,1,0.16435738174868608,1.0,mq_4_calm_sleep
7,LogisticRegression__penalty=l1,2,0.310340022296544,1.0,mq_4_calm_sleep
8,LogisticRegression__penalty=l1,3,0.2524703557312253,1.0,mq_4_calm_sleep
9,LogisticRegression__penalty=l1,4,0.43010033444816054,1.0,mq_4_calm_sleep
10,LogisticRegression__penalty=l2,0,0.23974358974358978,1.0,mq_4_calm_sleep
11,LogisticRegression__penalty=l2,1,0.20055741360089185,1.0,mq_4_calm_sleep
12,LogisticRegression__penalty=l2,2,0.3004658385093168,1.0,mq_4_calm_sleep
13,LogisticRegression__penalty=l2,3,0.2022785398744478,1.0,mq_4_calm_sleep
14,LogisticRegression__penalty=l2,4,0.34382646339168077,1.0,mq_4_calm_sleep
15,LogisticRegression__penalty=elasticnet,0,0.20844155844155843,0.9782286634460549,mq_4_calm_sleep
16,LogisticRegression__penalty=elasticnet,1,0.21460423634336676,1.0,mq_4_calm_sleep
17,LogisticRegression__penalty=elasticnet,2,0.2657004830917874,1.0,mq_4_calm_sleep
18,LogisticRegression__penalty=elasticnet,3,0.23188405797101452,0.989247311827957,mq_4_calm_sleep
19,LogisticRegression__penalty=elasticnet,4,0.2605047126786257,1.0,mq_4_calm_sleep
20,KNeighborsClassifier,0,0.2604166666666667,0.4320516552435894,mq_4_calm_sleep
21,KNeighborsClassifier,1,0.22747533796127148,0.34342557343959873,mq_4_calm_sleep
22,KNeighborsClassifier,2,0.2312020460358056,0.2814253230486321,mq_4_calm_sleep
23,KNeighborsClassifier,3,0.11607318512689355,0.33409701857282503,mq_4_calm_sleep
24,KNeighborsClassifier,4,0.20393374741200826,0.32840973401245044,mq_4_calm_sleep
