,model,fold,test_score,train_score,y_name
0,LogisticRegression__penalty=None,0,0.1718304843304843,1.0,mq_4_calm_sleep
1,LogisticRegression__penalty=None,1,0.13043478260869565,1.0,mq_4_calm_sleep
2,LogisticRegression__penalty=None,2,0.2668418537983755,1.0,mq_4_calm_sleep
3,LogisticRegression__penalty=None,3,0.37370600414078675,1.0,mq_4_calm_sleep
4,LogisticRegression__penalty=None,4,0.12525879917184266,1.0,mq_4_calm_sleep
5,LogisticRegression__penalty=l1,0,0.26834130781499205,1.0,mq_4_calm_sleep
6,LogisticRegression__penalty=l1,1,0.11594202898550723,1.0,mq_4_calm_sleep
7,LogisticRegression__penalty=l1,2,0.27084509693205344,1.0,mq_4_calm_sleep
8,LogisticRegression__penalty=l1,3,0.24998431520170653,1.0,mq_4_calm_sleep
9,LogisticRegression__penalty=l1,4,0.2948717948717948,1.0,mq_4_calm_sleep
10,LogisticRegression__penalty=l2,0,0.19047619047619047,1.0,mq_4_calm_sleep
11,LogisticRegression__penalty=l2,1,0.09030100334448159,1.0,mq_4_calm_sleep
12,LogisticRegression__penalty=l2,2,0.12842809364548496,1.0,mq_4_calm_sleep
13,LogisticRegression__penalty=l2,3,0.28843620147967974,1.0,mq_4_calm_sleep
14,LogisticRegression__penalty=l2,4,0.30579710144927535,1.0,mq_4_calm_sleep
15,LogisticRegression__penalty=elasticnet,0,0.19444444444444442,1.0,mq_4_calm_sleep
16,LogisticRegression__penalty=elasticnet,1,0.16544325239977414,0.9891898108216894,mq_4_calm_sleep
17,LogisticRegression__penalty=elasticnet,2,0.18840579710144925,1.0,mq_4_calm_sleep
18,LogisticRegression__penalty=elasticnet,3,0.2507246376811594,0.9892955031474956,mq_4_calm_sleep
19,LogisticRegression__penalty=elasticnet,4,0.2720178372352285,0.978433144592609,mq_4_calm_sleep
20,KNeighborsClassifier,0,0.14682539682539683,0.3259306419849436,mq_4_calm_sleep
21,KNeighborsClassifier,1,0.25005067396371744,0.3542287870818279,mq_4_calm_sleep
22,KNeighborsClassifier,2,0.20535117056856186,0.33839044961064596,mq_4_calm_sleep
23,KNeighborsClassifier,3,0.20355731225296442,0.35135201033818547,mq_4_calm_sleep
24,KNeighborsClassifier,4,0.398216276477146,0.2914334530728502,mq_4_calm_sleep
25,DecisionTreeClassifier,0,0.3287878787878788,0.7174029845167681,mq_4_calm_sleep
26,DecisionTreeClassifier,1,0.41863354037267086,0.9355277594908931,mq_4_calm_sleep
27,DecisionTreeClassifier,2,0.29528732137427793,0.8942694596605125,mq_4_calm_sleep
28,DecisionTreeClassifier,3,0.3571063207891852,0.915121252396272,mq_4_calm_sleep
29,DecisionTreeClassifier,4,0.20652173913043478,0.8807198786077278,mq_4_calm_sleep
30,RandomForestClassifier,0,0.22976190476190475,1.0,mq_4_calm_sleep
31,RandomForestClassifier,1,0.1093167701863354,1.0,mq_4_calm_sleep
32,RandomForestClassifier,2,0.19565217391304343,1.0,mq_4_calm_sleep
33,RandomForestClassifier,3,0.20735785953177252,1.0,mq_4_calm_sleep
34,RandomForestClassifier,4,0.22055335968379444,1.0,mq_4_calm_sleep
35,AdaBoostClassifier,0,0.1513157894736842,0.7200028232636929,mq_4_calm_sleep
36,AdaBoostClassifier,1,0.2668737060041408,0.7120310812335767,mq_4_calm_sleep
37,AdaBoostClassifier,2,0.2957332522549914,0.6438108920972481,mq_4_calm_sleep
38,AdaBoostClassifier,3,0.2436881106957833,0.767283210789522,mq_4_calm_sleep
39,AdaBoostClassifier,4,0.1604236343366778,0.721463072032332,mq_4_calm_sleep
40,SVC,0,0.2596153846153846,0.5106859012889869,mq_4_calm_sleep
41,SVC,1,0.18840579710144925,0.4569087194704211,mq_4_calm_sleep
42,SVC,2,0.14782608695652175,0.3531076593253297,mq_4_calm_sleep
43,SVC,3,0.10434782608695654,0.4170431428495945,mq_4_calm_sleep
44,SVC,4,0.31573498964803315,0.5321849169775438,mq_4_calm_sleep
45,LinearSVC,0,0.22887667887667887,1.0,mq_4_calm_sleep
46,LinearSVC,1,0.0782608695652174,1.0,mq_4_calm_sleep
47,LinearSVC,2,0.17585892368501063,1.0,mq_4_calm_sleep
48,LinearSVC,3,0.3387149082801256,1.0,mq_4_calm_sleep
49,LinearSVC,4,0.2927536231884058,1.0,mq_4_calm_sleep
50,LogisticRegression__penalty=None,0,0.2625188536953243,1.0,mq_5_superficial_sleep
51,LogisticRegression__penalty=None,1,0.18972332015810275,1.0,mq_5_superficial_sleep
52,LogisticRegression__penalty=None,2,0.3037059558798689,1.0,mq_5_superficial_sleep
53,LogisticRegression__penalty=None,3,0.17993600602296253,1.0,mq_5_superficial_sleep
54,LogisticRegression__penalty=None,4,0.2360248447204969,1.0,mq_5_superficial_sleep
55,LogisticRegression__penalty=l1,0,0.2762496762496763,1.0,mq_5_superficial_sleep
56,LogisticRegression__penalty=l1,1,0.16053511705685616,1.0,mq_5_superficial_sleep
57,LogisticRegression__penalty=l1,2,0.27376246941464333,1.0,mq_5_superficial_sleep
58,LogisticRegression__penalty=l1,3,0.168360624882364,1.0,mq_5_superficial_sleep
59,LogisticRegression__penalty=l1,4,0.2189520624303233,1.0,mq_5_superficial_sleep
60,LogisticRegression__penalty=l2,0,0.26078088578088576,1.0,mq_5_superficial_sleep
61,LogisticRegression__penalty=l2,1,0.25494071146245056,1.0,mq_5_superficial_sleep
62,LogisticRegression__penalty=l2,2,0.38199288634071243,1.0,mq_5_superficial_sleep
63,LogisticRegression__penalty=l2,3,0.2574034660991183,1.0,mq_5_superficial_sleep
