,model,hyp_mq_4_calm_sleep,train_score_mq_4_calm_sleep,test_score_mq_4_calm_sleep,hyp_mq_5_superficial_sleep,train_score_mq_5_superficial_sleep,test_score_mq_5_superficial_sleep,hyp_mq_6_recovery,train_score_mq_6_recovery,test_score_mq_6_recovery,hyp_mq_7_bad_mood,train_score_mq_7_bad_mood,test_score_mq_7_bad_mood,hyp_mq_8_energy,train_score_mq_8_energy,test_score_mq_8_energy,hyp_mq_9_tense,train_score_mq_9_tense,test_score_mq_9_tense,hyp_mq_10_unconcentrated,train_score_mq_10_unconcentrated,test_score_mq_10_unconcentrated
0,LogisticRegression__penalty=None,[OrderedDict({'model__C': 3.916449174261764})],0.9094154433233717,0.23356131790914397,[OrderedDict({'model__C': 3.916449174261764})],0.980739832046115,0.28312954255889033,[OrderedDict({'model__C': 3.916449174261764})],0.8790811275225561,0.23682708595752072,[OrderedDict({'model__C': 3.916449174261764})],0.9486148090602233,0.2415868697790894,[OrderedDict({'model__C': 3.916449174261764})],0.8945749895758353,0.2670802811851405,[OrderedDict({'model__C': 3.916449174261764})],0.9503205193088515,0.31812508889235225,[OrderedDict({'model__C': 3.916449174261764})],0.9479776169393432,0.2718251072598899
1,LogisticRegression__penalty=l1,[OrderedDict({'model__C': 0.5958198748137256})],0.5951216372537254,0.28659688137949,[OrderedDict({'model__C': 3.916449174261764})],0.7598710105601179,0.37884211838176035,[OrderedDict({'model__C': 0.5958198748137256})],0.6040655187173685,0.27059390453252347,[OrderedDict({'model__C': 0.5958198748137256})],0.6472225140813259,0.25783100957014005,[OrderedDict({'model__C': 0.5958198748137256})],0.6121765618809429,0.28978461755635665,[OrderedDict({'model__C': 3.916449174261764})],0.7545385495395915,0.35837771776390703,[OrderedDict({'model__C': 3.916449174261764})],0.7297991114947047,0.30532090174673293
2,LogisticRegression__penalty=l2,[OrderedDict({'model__C': 0.5958198748137256})],0.6937131363814121,0.27998918955440694,[OrderedDict({'model__C': 0.5958198748137256})],0.7380204190292405,0.38589504094938876,[OrderedDict({'model__C': 3.916449174261764})],0.7157171556956468,0.20079444106618022,[OrderedDict({'model__C': 0.5958198748137256})],0.7383908717295018,0.24212115676310053,[OrderedDict({'model__C': 3.916449174261764})],0.7542366753326959,0.28211035341470125,[OrderedDict({'model__C': 0.5958198748137256})],0.7138398504744566,0.35553942079517525,[OrderedDict({'model__C': 0.5958198748137256})],0.7193367350908225,0.2962361310187397
3,LogisticRegression__penalty=elasticnet,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.5808809639043424,0.2798827259696825,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",0.7666219639671616,0.3806101289541187,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.6068699425114271,0.25067149336171074,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.6348790070211258,0.27989048178306486,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.6138627701381826,0.29849620683380274,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.6546217233839093,0.37755008276747404,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",0.7257485666375583,0.2700773409596939
4,KNeighborsClassifier,[OrderedDict({'model__n_neighbors': 14})],0.3484252142622911,0.20675844615742314,[OrderedDict({'model__n_neighbors': 27})],0.3589525079822914,0.27826452596475476,[OrderedDict({'model__n_neighbors': 14})],0.3697252708517273,0.27069803956531646,[OrderedDict({'model__n_neighbors': 27})],0.30629377741013164,0.2175771901206684,[OrderedDict({'model__n_neighbors': 14})],0.456331908339868,0.3084721558634602,[OrderedDict({'model__n_neighbors': 14})],0.37975139105302935,0.24362020829412132,[OrderedDict({'model__n_neighbors': 14})],0.4090533796511891,0.23215544259661908
5,DecisionTreeClassifier,[OrderedDict({'model__max_depth': 6})],0.8889165499339657,0.24848352734222295,[OrderedDict({'model__max_depth': 11})],0.9978443199991773,0.2306485905398949,[OrderedDict({'model__max_depth': 11})],1.0,0.2567662048096831,[OrderedDict({'model__max_depth': 11})],1.0,0.2563581587494631,[OrderedDict({'model__max_depth': 6})],0.8799547184394971,0.33078503196150255,[OrderedDict({'model__max_depth': 6})],0.8732685356918914,0.2963634493525798,[OrderedDict({'model__max_depth': 11})],1.0,0.202912188243996
6,RandomForestClassifier,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.28979239856477707,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.2930468499010699,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.2597367244163583,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.3598167092924126,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.35962061489235403,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.3109117225485512,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.22525543983344493
7,AdaBoostClassifier,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.7135353274422143,0.3336135590826666,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.8079925934186274,0.2377954292084727,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.727522347212782,0.3381150562991995,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.6975173415106936,0.26642994686472943,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.5770760872552698,0.32438764089591926,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.5970969647848633,0.2985714030215309,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.6434986090516466,0.26345516802038543
8,SVC,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",0.9654932580718748,0.3349434793680318,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.46142405881990217,0.34252501334982155,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.39737961019467416,0.2622107316786951,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",0.9699160623258598,0.33362305621284827,"[OrderedDict({'model__C': 0.5958198748137256, 'model__kernel': 'sigmoid'})]",0.4951459688883779,0.32676113741331136,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",0.982668743008546,0.281813693552824,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",0.9741032396150027,0.310499768773426
9,LinearSVC,[OrderedDict({'model__C': 0.5958198748137256})],0.7059742918074338,0.27927994710603404,[OrderedDict({'model__C': 0.5958198748137256})],0.7637461389208747,0.3603408728952207,[OrderedDict({'model__C': 3.916449174261764})],0.7305924171604947,0.2242645458406328,[OrderedDict({'model__C': 3.916449174261764})],0.783778870170879,0.2366541691872505,[OrderedDict({'model__C': 0.5958198748137256})],0.7293349997962102,0.2812354794963491,[OrderedDict({'model__C': 0.5958198748137256})],0.750129212442172,0.36849635871375,[OrderedDict({'model__C': 0.5958198748137256})],0.7186968423387073,0.2979854821223108
