,model,hyp_mq_4_calm_sleep,train_score_mq_4_calm_sleep,test_score_mq_4_calm_sleep,hyp_mq_5_superficial_sleep,train_score_mq_5_superficial_sleep,test_score_mq_5_superficial_sleep,hyp_mq_6_recovery,train_score_mq_6_recovery,test_score_mq_6_recovery,hyp_mq_7_bad_mood,train_score_mq_7_bad_mood,test_score_mq_7_bad_mood,hyp_mq_8_energy,train_score_mq_8_energy,test_score_mq_8_energy,hyp_mq_9_tense,train_score_mq_9_tense,test_score_mq_9_tense,hyp_mq_10_unconcentrated,train_score_mq_10_unconcentrated,test_score_mq_10_unconcentrated
0,LogisticRegression__penalty=None,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2276102832944265,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3089790771887958,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3052412208422438,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3097128939072673,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3044563152107909,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.31662772010598095,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.18136083202579364
1,LogisticRegression__penalty=l1,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.289007037648342,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2960571584212889,[OrderedDict({'model__C': 0.5958198748137256})],0.9978475117645624,0.329965300400083,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.3405658854090675,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.37221368003976696,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.31835415791937527,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.1931718026219305
2,LogisticRegression__penalty=l2,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.2573743690239854,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.32800219651797924,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.32107059607059607,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.34162142631452097,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.32264090697594533,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.29942050702920264,[OrderedDict({'model__C': 0.5958198748137256})],1.0,0.19407777691665157
3,LogisticRegression__penalty=elasticnet,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.9934951950548024,0.23622700970527055,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.3255184175092642,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.34137782507347725,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.3438145194868846,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.9891996890135667,0.33188403987317033,"[OrderedDict({'model__C': 0.5958198748137256, 'model__l1_ratio': 0.9789036584263616})]",0.991370372128127,0.3792278011843229,"[OrderedDict({'model__C': 3.916449174261764, 'model__l1_ratio': 0.6760795088769136})]",1.0,0.18582737997060247
4,KNeighborsClassifier,[OrderedDict({'model__n_neighbors': 14})],0.34388186086341915,0.20782019664052914,[OrderedDict({'model__n_neighbors': 27})],0.3578227140533943,0.29531861955068306,[OrderedDict({'model__n_neighbors': 14})],0.3956126955115663,0.25127172392419633,[OrderedDict({'model__n_neighbors': 14})],0.34981508771064046,0.2678771640408469,[OrderedDict({'model__n_neighbors': 14})],0.37690287112449755,0.25371063261307575,[OrderedDict({'model__n_neighbors': 14})],0.3824768026807247,0.24353693292244913,[OrderedDict({'model__n_neighbors': 14})],0.37588730954178773,0.2767913646231724
5,DecisionTreeClassifier,[OrderedDict({'model__max_depth': 11})],1.0,0.2188856976356976,[OrderedDict({'model__max_depth': 11})],1.0,0.2530505021169983,[OrderedDict({'model__max_depth': 6})],0.9702827450933885,0.2524531929423234,[OrderedDict({'model__max_depth': 11})],1.0,0.30071489465351353,[OrderedDict({'model__max_depth': 11})],1.0,0.31289792333270594,[OrderedDict({'model__max_depth': 6})],0.9594259687317932,0.18492391666304706,[OrderedDict({'model__max_depth': 11})],1.0,0.3017706930750409
6,RandomForestClassifier,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.21377346367755573,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.24690271365463184,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.3413221924125141,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.31848886265766063,"[OrderedDict({'model__max_depth': 6, 'model__n_estimators': 295})]",1.0,0.2883798994412805,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.3032495765104461,"[OrderedDict({'model__max_depth': 11, 'model__n_estimators': 219})]",1.0,0.23036301950738328
7,AdaBoostClassifier,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.9262814335912772,0.26246436820235447,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.7819801259390419,0.23110337793404154,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.7612110996512127,0.30320767092422096,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.8896579867971239,0.3267465486458621,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.8076151533044555,0.24207680746363608,"[OrderedDict({'model__learning_rate': 0.005958198748137252, 'model__n_estimators': 295})]",0.8311927153184765,0.2617808264483456,"[OrderedDict({'model__learning_rate': 0.039164491742617644, 'model__n_estimators': 219})]",0.9055008635547687,0.2168535923141186
8,SVC,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.24302920651386123,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.3393379084683433,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.33975019048868155,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.2904598726082102,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.29293921196734496,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.294527727174786,"[OrderedDict({'model__C': 3.916449174261764, 'model__kernel': 'rbf'})]",1.0,0.2585226527521924
9,LinearSVC,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.25801796172000774,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.320951246820812,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3374732674732675,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.33365144223469706,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.3194386062928262,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.29680942246159636,[OrderedDict({'model__C': 3.916449174261764})],1.0,0.16589559275620655
