,model,fold,test_score,train_score,y_name
0,LinearRegression,0,25.35500029463196,5.4462699164028387e-14,mq_1_Sleeplatency
1,LinearRegression,1,13.283569316403387,5.2707491947799553e-14,mq_1_Sleeplatency
2,LinearRegression,2,22.808819450751496,5.0415541268271137e-14,mq_1_Sleeplatency
3,LinearRegression,3,21.3909942020369,5.79915882679238e-14,mq_1_Sleeplatency
4,LinearRegression,4,19.341387707566444,5.1406877630719215e-14,mq_1_Sleeplatency
5,Ridge,0,25.36345483264834,5.324241273422526e-14,mq_1_Sleeplatency
6,Ridge,1,13.277522779714458,7.090034692846987e-14,mq_1_Sleeplatency
7,Ridge,2,22.83393967877212,5.3432497755348905e-14,mq_1_Sleeplatency
8,Ridge,3,21.390720200537178,7.181021790839956e-14,mq_1_Sleeplatency
9,Ridge,4,19.34199320625641,8.7408883768745e-14,mq_1_Sleeplatency
10,Lasso,0,22.588619995056927,0.002934392749116206,mq_1_Sleeplatency
11,Lasso,1,15.453727289027285,0.0029174164498116245,mq_1_Sleeplatency
12,Lasso,2,24.057060969660046,0.001619729482471486,mq_1_Sleeplatency
13,Lasso,3,18.810515602490323,0.0030185946787168612,mq_1_Sleeplatency
14,Lasso,4,17.938849030559368,0.0025436882288625722,mq_1_Sleeplatency
15,ElasticNet,0,22.588619860369693,0.002934395350988967,mq_1_Sleeplatency
16,ElasticNet,1,15.453727540945389,0.0029174142597238385,mq_1_Sleeplatency
17,ElasticNet,2,24.057061169775945,0.0016197343362308165,mq_1_Sleeplatency
18,ElasticNet,3,18.810515756620013,0.003018594443670995,mq_1_Sleeplatency
19,ElasticNet,4,17.938849351427,0.0025436870379335745,mq_1_Sleeplatency
20,DecisionTreeRegressor,0,26.251024781583926,2.7705752031882724,mq_1_Sleeplatency
21,DecisionTreeRegressor,1,16.10536856685584,3.1774368169036924,mq_1_Sleeplatency
22,DecisionTreeRegressor,2,28.41594296382898,4.319380853065071,mq_1_Sleeplatency
23,DecisionTreeRegressor,3,27.434052494725407,3.9187131869782093,mq_1_Sleeplatency
24,DecisionTreeRegressor,4,19.2785382440573,5.5131413653367005,mq_1_Sleeplatency
25,RandomForestRegressor,0,22.351144250518313,6.293942326407438,mq_1_Sleeplatency
26,RandomForestRegressor,1,11.07754189406153,7.705465269998241,mq_1_Sleeplatency
27,RandomForestRegressor,2,21.326311280070012,6.133860015402671,mq_1_Sleeplatency
28,RandomForestRegressor,3,12.099367342270323,7.402963871628158,mq_1_Sleeplatency
29,RandomForestRegressor,4,17.33634550954545,6.895967945677862,mq_1_Sleeplatency
30,AdaBoostRegressor,0,23.818956193920833,5.409440197333133,mq_1_Sleeplatency
31,AdaBoostRegressor,1,10.530813594362524,6.761907640367945,mq_1_Sleeplatency
32,AdaBoostRegressor,2,21.465968695803273,6.115236273594949,mq_1_Sleeplatency
33,AdaBoostRegressor,3,10.493056155217158,7.025997382588059,mq_1_Sleeplatency
34,AdaBoostRegressor,4,16.703426311895473,6.874374449786601,mq_1_Sleeplatency
35,SVR,0,25.551817273411732,16.136862628349057,mq_1_Sleeplatency
36,SVR,1,11.897432521574837,19.949811935169805,mq_1_Sleeplatency
37,SVR,2,21.576917119240072,16.62585108264709,mq_1_Sleeplatency
38,SVR,3,10.115882294510987,19.05509431307789,mq_1_Sleeplatency
39,SVR,4,16.309386002902333,18.09930140706985,mq_1_Sleeplatency
40,LinearSVR,0,23.918807311596357,0.0033578747061663457,mq_1_Sleeplatency
41,LinearSVR,1,12.625174637325232,0.002620169388034405,mq_1_Sleeplatency
42,LinearSVR,2,22.25123255736603,0.002846704567845305,mq_1_Sleeplatency
43,LinearSVR,3,19.506514827763876,0.0023284372643239157,mq_1_Sleeplatency
44,LinearSVR,4,17.875275003539976,0.0023489301227612295,mq_1_Sleeplatency
45,LinearRegression,0,3.1040941636151254,6.259343182639495e-15,mq_2_times_awake
46,LinearRegression,1,3.0498126489765927,4.5987120077790826e-15,mq_2_times_awake
47,LinearRegression,2,1.879049544380459,6.675251147253963e-15,mq_2_times_awake
48,LinearRegression,3,2.414641855080734,5.2703005749226376e-15,mq_2_times_awake
49,LinearRegression,4,2.7664962158399153,5.088306224477667e-15,mq_2_times_awake
50,Ridge,0,3.1035862264955076,8.50172808556444e-15,mq_2_times_awake
51,Ridge,1,3.05004998714263,6.81554164196041e-15,mq_2_times_awake
52,Ridge,2,1.8793672648710067,9.234556306666745e-15,mq_2_times_awake
53,Ridge,3,2.416071883199468,7.678778654582118e-15,mq_2_times_awake
54,Ridge,4,2.760344410320175,7.772857177214855e-15,mq_2_times_awake
55,Lasso,0,2.8412446564345997,0.00020479167213818957,mq_2_times_awake
56,Lasso,1,2.807920535414053,0.00047689293451582966,mq_2_times_awake
57,Lasso,2,2.3565303398244155,0.00030104906319898084,mq_2_times_awake
58,Lasso,3,2.200161124935746,0.00022812910061314505,mq_2_times_awake
59,Lasso,4,2.4652099459670436,0.00034414626031753585,mq_2_times_awake
60,ElasticNet,0,2.8412449358321634,0.00020479994833374088,mq_2_times_awake
61,ElasticNet,1,2.8079207455274635,0.0004768908979336836,mq_2_times_awake
62,ElasticNet,2,2.3565307406971483,0.0003010535050610864,mq_2_times_awake
63,ElasticNet,3,2.20016129228219,0.00022812413893430917,mq_2_times_awake
64,ElasticNet,4,2.4652102789331543,0.00034414087088074046,mq_2_times_awake
65,DecisionTreeRegressor,0,2.798809270624444,0.0,mq_2_times_awake
66,DecisionTreeRegressor,1,3.7935872664044634,0.0,mq_2_times_awake
67,DecisionTreeRegressor,2,1.681096950363583,0.0,mq_2_times_awake
68,DecisionTreeRegressor,3,2.0536288136729643,0.0,mq_2_times_awake
69,DecisionTreeRegressor,4,1.4744195615489712,0.0,mq_2_times_awake
70,RandomForestRegressor,0,2.435873311577367,0.7331512592957423,mq_2_times_awake
71,RandomForestRegressor,1,2.8461448611896056,0.7436270717416652,mq_2_times_awake
72,RandomForestRegressor,2,1.4894703960041924,0.8104220138688584,mq_2_times_awake
73,RandomForestRegressor,3,1.4772914793147642,0.8296123111334979,mq_2_times_awake
74,RandomForestRegressor,4,1.5596812034873677,0.8544682078699036,mq_2_times_awake
75,AdaBoostRegressor,0,2.4904752499168454,0.7343173937111201,mq_2_times_awake
76,AdaBoostRegressor,1,3.0652181449056064,0.7369581837388494,mq_2_times_awake
77,AdaBoostRegressor,2,1.3412034222364428,0.7696979807830626,mq_2_times_awake
78,AdaBoostRegressor,3,1.440487545324396,0.7746121335573882,mq_2_times_awake
79,AdaBoostRegressor,4,1.6113781305301458,0.7501705533736965,mq_2_times_awake
80,SVR,0,2.527941049883066,2.089761422750331,mq_2_times_awake
81,SVR,1,3.221159054072406,1.9237937645739678,mq_2_times_awake
82,SVR,2,1.4581043836860272,2.3585097378062168,mq_2_times_awake
83,SVR,3,1.505183471430851,2.3241517342231726,mq_2_times_awake
84,SVR,4,1.7849564721167552,2.3584939600377783,mq_2_times_awake
85,LinearSVR,0,3.3458304159533423,0.00031728518757454416,mq_2_times_awake
86,LinearSVR,1,3.134866089368312,0.00026132250687051033,mq_2_times_awake
87,LinearSVR,2,1.9831037673918637,0.0003426768576123269,mq_2_times_awake
88,LinearSVR,3,2.5809459771552117,0.000307918900809163,mq_2_times_awake
89,LinearSVR,4,2.8229420367184397,0.00044288314651490967,mq_2_times_awake
90,LinearRegression,0,42.84563850612205,6.633243356700391e-14,mq_3_time_lay_awake
91,LinearRegression,1,30.165490478464417,1.028457611873777e-13,mq_3_time_lay_awake
92,LinearRegression,2,23.825321344212014,1.0787023107776758e-13,mq_3_time_lay_awake
93,LinearRegression,3,31.759706525989962,1.0454557911607905e-13,mq_3_time_lay_awake
94,LinearRegression,4,30.45615364432972,1.1508393881591577e-13,mq_3_time_lay_awake
95,Ridge,0,42.84847988780488,8.147007279749364e-14,mq_3_time_lay_awake
96,Ridge,1,30.15182032222011,1.0442120529241498e-13,mq_3_time_lay_awake
97,Ridge,2,23.819229748551614,1.2941986668849617e-13,mq_3_time_lay_awake
98,Ridge,3,31.74666816133441,1.2240588186440082e-13,mq_3_time_lay_awake
99,Ridge,4,30.4760493970699,1.2160788834217103e-13,mq_3_time_lay_awake
100,Lasso,0,42.47050591012494,0.002733974778667599,mq_3_time_lay_awake
101,Lasso,1,30.491864170965606,0.003382776332178141,mq_3_time_lay_awake
102,Lasso,2,30.13648785726207,0.003342471973052852,mq_3_time_lay_awake
103,Lasso,3,38.931325586401115,0.0025637814868221948,mq_3_time_lay_awake
104,Lasso,4,30.715805633172597,0.003410051076985781,mq_3_time_lay_awake
105,ElasticNet,0,42.470506032391,0.0027339915489539386,mq_3_time_lay_awake
106,ElasticNet,1,30.49186475622366,0.00338277460377359,mq_3_time_lay_awake
107,ElasticNet,2,30.136488257009596,0.003342480047099439,mq_3_time_lay_awake
108,ElasticNet,3,38.93132587282176,0.002563776977636558,mq_3_time_lay_awake
109,ElasticNet,4,30.71580582052068,0.003410047180260058,mq_3_time_lay_awake
110,DecisionTreeRegressor,0,51.649822988775874,0.8852464526939477,mq_3_time_lay_awake
111,DecisionTreeRegressor,1,54.72235188497425,0.33415047107962675,mq_3_time_lay_awake
112,DecisionTreeRegressor,2,58.63610205127994,0.13116516715679058,mq_3_time_lay_awake
113,DecisionTreeRegressor,3,27.67434850574429,0.10369516947304253,mq_3_time_lay_awake
114,DecisionTreeRegressor,4,48.287184365140234,0.0,mq_3_time_lay_awake
115,RandomForestRegressor,0,41.84955212889528,8.777457883611797,mq_3_time_lay_awake
116,RandomForestRegressor,1,26.675437403380425,11.447524679590956,mq_3_time_lay_awake
117,RandomForestRegressor,2,22.598968144417665,11.31390951740062,mq_3_time_lay_awake
118,RandomForestRegressor,3,29.46592529004322,11.517326359162688,mq_3_time_lay_awake
119,RandomForestRegressor,4,26.77744252262697,11.988028568932686,mq_3_time_lay_awake
120,AdaBoostRegressor,0,42.57499454482368,6.790956784963418,mq_3_time_lay_awake
121,AdaBoostRegressor,1,29.109195401665303,7.726521301003173,mq_3_time_lay_awake
122,AdaBoostRegressor,2,12.007912970728311,8.317732815316099,mq_3_time_lay_awake
123,AdaBoostRegressor,3,28.64477764253429,7.6676411676514205,mq_3_time_lay_awake
124,AdaBoostRegressor,4,27.46651471408592,8.835337716655577,mq_3_time_lay_awake
125,SVR,0,51.273997359506666,26.561893049887882,mq_3_time_lay_awake
